C:\ProgramData\anaconda3\Lib\site-packages\gymnasium\spaces\box.py:235: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
C:\ProgramData\anaconda3\Lib\site-packages\gymnasium\spaces\box.py:305: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 100      |
|    ep_rew_mean     | 2.34e+03 |
| time/              |          |
|    fps             | 2223     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 2048     |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 100       |
|    ep_rew_mean          | 2.38e+03  |
| time/                   |           |
|    fps                  | 1517      |
|    iterations           | 2         |
|    time_elapsed         | 2         |
|    total_timesteps      | 4096      |
| train/                  |           |
|    approx_kl            | 2.8846917 |
|    clip_fraction        | 0.291     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.0178   |
|    explained_variance   | 0.179     |
|    learning_rate        | 0.0003    |
|    loss                 | 2.78e+04  |
|    n_updates            | 10        |
|    policy_gradient_loss | 0.0563    |
|    value_loss           | 5.3e+04   |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 100       |
|    ep_rew_mean          | 2.43e+03  |
| time/                   |           |
|    fps                  | 1389      |
|    iterations           | 3         |
|    time_elapsed         | 4         |
|    total_timesteps      | 6144      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.32e-12 |
|    explained_variance   | 0.0422    |
|    learning_rate        | 0.0003    |
|    loss                 | 1.56e+04  |
|    n_updates            | 20        |
|    policy_gradient_loss | -5.45e-09 |
|    value_loss           | 3.45e+04  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 100       |
|    ep_rew_mean          | 2.43e+03  |
| time/                   |           |
|    fps                  | 1331      |
|    iterations           | 4         |
|    time_elapsed         | 6         |
|    total_timesteps      | 8192      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.88e-12 |
|    explained_variance   | -0.528    |
|    learning_rate        | 0.0003    |
|    loss                 | 2.16e+04  |
|    n_updates            | 30        |
